,text,Label
0,Anathi Khanyile,"(Category tensor(1), tensor(1), tensor([0.0160, 0.9840]))"
1,Tony bahut funny hai Hill climbing racing my favourite game,"(Category tensor(1), tensor(1), tensor([3.0503e-05, 9.9997e-01]))"
2,Teturwu,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
3,Hoooooooooooyaaaaaaaaa what a game hooooooooooooyaaaaaaaa,"(Category tensor(1), tensor(1), tensor([8.9701e-04, 9.9910e-01]))"
4,This game is nice,"(Category tensor(1), tensor(1), tensor([0.0161, 0.9839]))"
5,Rahulyadavo,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
6,"First thing is that I like this game, it's fantastic and amazing. Though I rate it 4 stars cuz it's right pedal stops working in the game and that's why I kept falling on the bridge.","(Category tensor(1), tensor(1), tensor([0.0082, 0.9918]))"
7,Very taty,"(Category tensor(1), tensor(1), tensor([0.0510, 0.9490]))"
8,good,"(Category tensor(1), tensor(1), tensor([0.1475, 0.8525]))"
9,I LIKE THIS GAME,"(Category tensor(1), tensor(1), tensor([0.0721, 0.9279]))"
10,Racing,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
11,😆😆😆,"(Category tensor(1), tensor(1), tensor([0.0460, 0.9540]))"
12,Awesome game. easy to use options.,"(Category tensor(1), tensor(1), tensor([0.0061, 0.9939]))"
13,Very noob game,"(Category tensor(1), tensor(1), tensor([0.0357, 0.9643]))"
14,Hill climb racing 2 vip game,"(Category tensor(1), tensor(1), tensor([3.7971e-04, 9.9962e-01]))"
15,Good games,"(Category tensor(1), tensor(1), tensor([0.1560, 0.8440]))"
16,I is so oosem game,"(Category tensor(1), tensor(1), tensor([0.0417, 0.9583]))"
17,Good game,"(Category tensor(1), tensor(1), tensor([0.1556, 0.8444]))"
18,All right for the price you pay.,"(Category tensor(1), tensor(1), tensor([0.1506, 0.8494]))"
19,"I like the app, it works really well. It is a much better experience then the website.","(Category tensor(1), tensor(1), tensor([0.3831, 0.6169]))"
20,Chicago,"(Category tensor(1), tensor(1), tensor([0.3175, 0.6825]))"
21,Please add dark amoled theme,"(Category tensor(1), tensor(1), tensor([1.4509e-04, 9.9985e-01]))"
22,Very easy to use and my delivery was quick and very well protected. Thank you! A+,"(Category tensor(1), tensor(1), tensor([0.0054, 0.9946]))"
23,Awesome,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
24,Excelent Best of all,"(Category tensor(1), tensor(1), tensor([0.1973, 0.8027]))"
25,I've been ordering here for years. Updated to say its still pretty good in 2021,"(Category tensor(1), tensor(1), tensor([0.1908, 0.8092]))"
26,Why is Alixpress customer service not Available. Like I don't understand please Please reply me,"(Category tensor(0), tensor(0), tensor([0.8818, 0.1182]))"
27,Very useful app 👌,"(Category tensor(1), tensor(1), tensor([0.0022, 0.9978]))"
28,Excellent products and speed of shipments.,"(Category tensor(1), tensor(1), tensor([0.0019, 0.9981]))"
29,"Fast, simple to use. Best shipping I know of. Everything you can imagine on electronics is there and there are quite a few amazing, unknown to the US items --- really worth it. This is the ONLY app from which in never mind getting ads! 😂","(Category tensor(1), tensor(1), tensor([5.1084e-04, 9.9949e-01]))"
30,👍,"(Category tensor(1), tensor(1), tensor([0.2267, 0.7733]))"
31,Love the possibilities of the app. Working wel.,"(Category tensor(1), tensor(1), tensor([0.0083, 0.9917]))"
32,Great,"(Category tensor(1), tensor(1), tensor([0.2377, 0.7623]))"
33,I Love AliExpress and All Sellers in AliExpress No Scam Zone ★★★★★,"(Category tensor(1), tensor(1), tensor([6.5884e-04, 9.9934e-01]))"
34,I have ordered severally using the app and its very reliable shipping is fast anf what you order is what you get,"(Category tensor(1), tensor(1), tensor([0.2210, 0.7790]))"
35,The search engine needs work. Doesn't work as well as I'd like. A lot of useless items come up in a search that has none of the words I searched for in the title.,"(Category tensor(1), tensor(1), tensor([0.0565, 0.9435]))"
36,Great,"(Category tensor(1), tensor(1), tensor([0.2377, 0.7623]))"
37,Good but late,"(Category tensor(1), tensor(1), tensor([0.1672, 0.8328]))"
38,This app is great for finding stuff at somewhat reasonable prices. But just like wish they start to progressively stop sending your products within the scheduled time or don't send them at all. Once a dispute is brought up the seller's want to lie about ETAs. I done with this app. Since Covid-19 they have making any excuse to not send your items. Tracking numbers do not track the package. Genuinely done with this app after my previous orders arrive or if they ever do.,"(Category tensor(1), tensor(1), tensor([0.0202, 0.9798]))"
39,"Very reasonable shipping times to the USA. If you own a computer business as I do, AliExpress is a must.","(Category tensor(1), tensor(1), tensor([0.0251, 0.9749]))"
40,Fun fun fun,"(Category tensor(1), tensor(1), tensor([0.0049, 0.9951]))"
41,Very good app,"(Category tensor(1), tensor(1), tensor([0.0073, 0.9927]))"
42,Is incredible...,"(Category tensor(1), tensor(1), tensor([0.0329, 0.9671]))"
43,Very good,"(Category tensor(1), tensor(1), tensor([0.0231, 0.9769]))"
44,Great honest app..,"(Category tensor(1), tensor(1), tensor([0.0090, 0.9910]))"
45,"App itself is good, easy to use and with loads of inexpensive items to buy, but gets 2 stars. The app is just one part of it. The other part is the service and delivery of things you have bought. Unfortunately this side of AliExpress is very poor. 2 months of waiting for purchases to arrive so far... if you want an item quick forget this and go to a local shop. You do have different freight options but these are pricey and so nullify any savings you may make.","(Category tensor(1), tensor(1), tensor([0.0272, 0.9728]))"
46,I can't live without Ali Express ido alot of shopping 🛒,"(Category tensor(1), tensor(1), tensor([1.0169e-04, 9.9990e-01]))"
47,👍,"(Category tensor(1), tensor(1), tensor([0.2267, 0.7733]))"
48,Would have given 5 stars if Cash on delivery option was available..,"(Category tensor(1), tensor(1), tensor([0.0014, 0.9986]))"
49,Nice app,"(Category tensor(1), tensor(1), tensor([0.0818, 0.9182]))"
50,Produtos variados e com ótimo preço. Mas o tempo de espera para chegar o produto na sua casa... Vish!,"(Category tensor(1), tensor(1), tensor([7.0152e-09, 1.0000e+00]))"
51,"So far so good,got items on time","(Category tensor(1), tensor(1), tensor([0.0508, 0.9492]))"
52,Amazing app. Best place to purchase your product internationally,"(Category tensor(1), tensor(1), tensor([0.0012, 0.9988]))"
53,Ali express is great. Sometimes orders take a very long time but I'm ok with it as long as my things arrive when it says .,"(Category tensor(1), tensor(1), tensor([0.0510, 0.9490]))"
54,"Love this app. Some things take awhile to receive, that is clearly stated on items that are ordered.","(Category tensor(1), tensor(1), tensor([0.0021, 0.9979]))"
55,Fast delivery,"(Category tensor(1), tensor(1), tensor([0.4091, 0.5909]))"
56,"Some shipments take long, and most of the things they sell is cheap but i really like this app because the stuff is cheap depending on what you order :)","(Category tensor(1), tensor(1), tensor([8.4788e-04, 9.9915e-01]))"
57,رائع للتسوق,"(Category tensor(1), tensor(1), tensor([0.1698, 0.8302]))"
58,YOU NOOB NO LEGO POLICE BOAY 60045 👎😭😢😡,"(Category tensor(1), tensor(1), tensor([7.4204e-06, 9.9999e-01]))"
59,Too many problems with service. I am done. Not an easy solution and prices are about same as Amazon for same prices..and better problem resolution,"(Category tensor(1), tensor(1), tensor([1.6676e-04, 9.9983e-01]))"
60,This App Really Makes Shopping Easy and Fun,"(Category tensor(1), tensor(1), tensor([0.0066, 0.9934]))"
61,Excellent,"(Category tensor(1), tensor(1), tensor([0.2514, 0.7486]))"
62,Am very happy to use this app everything is straight forward and deliveries are quick,"(Category tensor(1), tensor(1), tensor([3.2589e-05, 9.9997e-01]))"
63,got credit card fraud the next day after my first purchase. But yea what do I expect on a cheap website.,"(Category tensor(1), tensor(1), tensor([0.0014, 0.9986]))"
64,Very nice app,"(Category tensor(1), tensor(1), tensor([0.0105, 0.9895]))"
65,Very easy app to use. Lots to choose from.,"(Category tensor(1), tensor(1), tensor([0.2559, 0.7441]))"
66,"Theres one item that i didnt get, but i still like this better than others apps.","(Category tensor(1), tensor(1), tensor([0.0060, 0.9940]))"
67,With time I will give it 5 stars Started using it not quite long,"(Category tensor(1), tensor(1), tensor([0.1542, 0.8458]))"
68,"All I can say is I LOVE LOVE LOVE ALIEXPRESS, the prices are great and if you shop around you can find the same item sold by different sellers, some cheaper, with free shipping and some are better quality than others - ALWAYS CHECK OUT REVIEWS THEY HELP SO MUCH!!! - Well worth the wait for shipping. Vendors are great and if there is a problem (which doesn't happen much), AliExpress works with purchasers and refunds cost including shipping if appropriate.","(Category tensor(1), tensor(1), tensor([3.8480e-04, 9.9962e-01]))"
69,Amazing,"(Category tensor(1), tensor(1), tensor([0.2128, 0.7872]))"
70,For the years I've been on AliExpress I've ONLY had a handful of negative experiences. The overall experience has been positive. Let's hope they keep it going in a great direction,"(Category tensor(1), tensor(1), tensor([9.0105e-04, 9.9910e-01]))"
71,I liked spending time on this app as it has a variety of products to offer...you can buy anything of your choice and interest sitting at home.. different sales days and promotions also make it more attractive for someone who loves to shop economically...but can you please provide us the facility of cash on delivery. ?,"(Category tensor(1), tensor(1), tensor([0.0024, 0.9976]))"
72,Good,"(Category tensor(1), tensor(1), tensor([0.1048, 0.8952]))"
73,Nice,"(Category tensor(1), tensor(1), tensor([0.3338, 0.6662]))"
